BH4,50.7217,-1.9005
BH5,50.7258,-1.8371
BH6,50.7277,-1.8092
BH7,50.7345,-1.83421
BH8,50.7398,-1.85393
BH9,50.7498,-1.87481
BH10,50.7591,-1.89328
BH11,50.7607,-1.91984
BH12,50.7379,-1.92513
BH13,50.7104,-1.91837
BH14,50.7223,-1.94553
BH15,50.7209,-1.9848
BH16,50.7381,-2.04434
BH17,50.7458,-1.9732
BH18,50.7571,-1.99158
BH19,50.6114,-1.96989
BH20,50.6875,-2.14477
BH21,50.8185,-1.96443
BH22,50.8062,-1.88912
BH23,50.7453,-1.75855
BH24,50.846,-1.78772
BH25,50.7523,-1.65864
BH31,50.8748,-1.86916
BL0,53.6435,-2.31623
BL1,53.5889,-2.44078
BL2,53.5877,-2.39783
BL3,53.5662,-2.43208
BL4,53.5473,-2.40337
BL5,53.5518,-2.51722
BL6,53.5911,-2.53994
BL7,53.6282,-2.42306
BL8,53.602,-2.32375
BL9,53.592,-2.28886
BL11,53.5723,-2.42538
BL78,53.5615,-2.40861
BN1,50.8372,-0.1401
BN2,50.8245,-0.107949
BN3,50.8344,-0.175344
BN4,50.8493,-0.256373
BN5,50.9244,-0.268139
BN6,50.9295,-0.152894
BN7,50.8783,0.00286477
BN8,50.9124,0.0508325
BN9,50.7953,0.0267252
BN10,50.7956,0.00174666
BN11,50.8137,-0.375469
BN12,50.8142,-0.426937
BN13,50.8303,-0.406299
BN14,50.8308,-0.379934
BN15,50.83,-0.325139
BN16,50.8155,-0.498005
BN17,50.8152,-0.537106
BN18,50.8489,-0.578165
BN20,50.774,0.254867
BN21,50.7721,0.274572
BN22,50.7879,0.283443
BN23,50.7985,0.312691
BN24,50.8156,0.325936
BN25,50.776,0.107309
BN26,50.8214,0.224679
BN27,50.8708,0.262779
BN41,50.8391,-0.215318
BN42,50.8368,-0.232062
BN43,50.8354,-0.268056
BN44,50.8928,-0.318618
BN45,50.8884,-0.183216
BN50,50.826,-0.140768
BN51,50.8048,-0.0586691
BN52,50.8338,-0.168065
BN88,50.827,-0.140775
BN91,,
BN95,50.8232,-0.330024
BN99,50.8216,-0.355297
BR1,51.4107,0.0194209
BR2,51.3904,0.0216551
BR3,51.4035,-0.0316481
BR4,51.3757,-0.00987833
BR5,51.3892,0.102545
BR6,51.3674,0.0924935
BR7,51.4118,0.0596186
BR8,51.3976,0.174803
BR98,,
BS0,51.3439,-2.95702
BS1,51.4539,-2.59212
BS2,51.459,-2.58116
BS3,51.4386,-2.60344
BS4,51.4363,-2.56383
BS5,51.4621,-2.55286
BS6,51.4702,-2.59847
BS7,51.4866,-2.58161
BS8,51.4575,-2.61951
BS9,51.4883,-2.62538
BS10,51.5056,-2.61159
BS11,51.4987,-2.67842
BS12,51.5555,-2.55897
BS13,51.4121,-2.61175
BS14,51.4132,-2.56273
BS15,51.4548,-2.49612
BS16,51.4855,-2.5124
BS17,51.5289,-2.44225
BS18,51.3675,-2.58386
BS19,51.4075,-2.76987
BS20,51.4806,-2.75696
BS21,51.4361,-2.8514
BS22,51.3606,-2.92825
BS23,51.3435,-2.96957
BS24,51.3312,-2.92484
BS25,51.3206,-2.82668
BS26,51.2804,-2.85067
BS27,51.2724,-2.7722
BS28,51.2274,-2.8154
BS29,51.3298,-2.87308
BS30,51.4464,-2.47545
BS31,51.4096,-2.4934
BS32,51.5415,-2.5611
BS34,51.5252,-2.56765
BS35,51.5972,-2.54845
BS36,51.5262,-2.48786
BS37,51.5399,-2.4184
BS38,,
BS39,51.3282,-2.53285
BS40,51.3469,-2.69319
BS41,51.4235,-2.65442
BS48,51.4265,-2.74977
BS49,51.3824,-2.81587
BS77,51.4387,-2.60153
BS80,51.5035,-2.61308
BS98,51.4594,-2.58461
BS99,51.4578,-2.57532
BT1,54.5995,-5.92844
BT2,54.5934,-5.93074
BT3,54.6186,-5.90486
BT4,54.6027,-5.86814
BT5,54.5886,-5.87376
BT6,54.5808,-5.89837
BT7,54.5832,-5.92495
BT8,54.5454,-5.9083
BT9,54.5721,-5.9502
BT10,54.5598,-5.98645
BT11,54.5762,-5.99813
BT12,54.5924,-5.95633
BT13,54.6058,-5.95844
BT14,54.6211,-5.96227
BT15,54.6219,-5.93166
BT16,54.5909,-5.79812
BT17,54.5532,-6.01945
BT18,54.6404,-5.82383
BT19,54.6508,-5.65797
BT20,54.6591,-5.66538
BT21,54.6405,-5.54687
BT22,54.5033,-5.51476
BT23,54.5718,-5.70752
BT24,54.4177,-5.87161
BT25,54.3965,-6.11571
BT26,54.4541,-6.06388
BT27,54.5092,-6.02422
BT28,54.522,-6.08505
BT29,54.6214,-6.19764
BT30,54.3332,-5.70269
BT31,54.2767,-5.96875
BT32,54.3362,-6.24735
BT33,54.2231,-5.89094
BT34,54.1532,-6.18141
BT35,54.165,-6.4398
BT36,54.6782,-5.95963
BT37,54.6765,-5.90826
BT38,54.7288,-5.80082
BT39,54.745,-6.01821
BT40,54.8467,-5.82279
BT41,54.7316,-6.25438
BT42,54.8546,-6.2767
BT43,54.8904,-6.26619
BT44,54.973,-6.28393
BT45,54.7597,-6.63912
BT46,54.8655,-6.66261
BT47,54.9805,-7.23167
BT48,55.0089,-7.32756
BT49,55.0477,-6.95202
BT51,55.0612,-6.68316
BT52,55.1336,-6.65593
BT53,55.0851,-6.47702
BT54,55.2037,-6.25692
BT55,55.1795,-6.71018
BT56,55.1975,-6.65065
BT57,55.2032,-6.51865
BT58,,
BT60,54.2925,-6.64748
BT61,54.3671,-6.6259
BT62,54.4127,-6.46438
BT63,54.4083,-6.39271
BT64,54.4492,-6.38935
BT65,54.4447,-6.36603
BT66,54.4553,-6.33347
BT67,54.4869,-6.26839
BT68,54.3644,-6.84812
BT69,54.42,-6.94942
BT70,54.5145,-6.88166
BT71,54.5127,-6.7062
BT74,54.3447,-7.66332
BT75,54.3746,-7.31425
BT76,54.4204,-7.19221
BT77,54.4292,-7.12041
BT78,54.5726,-7.37201
BT79,54.6224,-7.20448
BT80,54.6458,-6.74442
BT81,54.696,-7.61208
BT82,54.8264,-7.43104
BT92,54.2238,-7.46494
BT93,54.4676,-7.82575
BT94,54.3767,-7.53673
BT99,54.6027,-5.92249
CA1,54.8871,-2.91836
CA2,54.8849,-2.95067
CA3,54.9059,-2.93997
CA4,54.8566,-2.82071
CA5,54.8205,-3.21165
CA6,54.987,-2.8679
CA7,54.8085,-3.23528
CA8,54.9395,-2.68827
CA9,54.8013,-2.41746
CA10,54.6135,-2.66272
CA11,54.6647,-2.78246
CA12,54.6022,-3.13458
CA13,54.6604,-3.36798
CA14,54.6351,-3.53955
CA15,54.7119,-3.48204
CA16,54.5742,-2.48466
CA17,54.4799,-2.35039
CA18,54.3546,-3.39051
CA19,54.387,-3.38615
CA20,54.4099,-3.46353
CA21,54.4453,-3.51654
CA22,54.4804,-3.53226
CA23,54.514,-3.49401
CA24,54.5138,-3.54283
CA25,54.5219,-3.51946
CA26,54.5445,-3.48498
CA27,54.4909,-3.59292
CA28,54.5436,-3.57955
CA95,54.6448,-3.56641
CA99,54.8908,-2.94382
CB1,52.1861,0.16752
CB2,52.1719,0.129679
CB3,52.214,0.0330877
CB4,52.2437,0.11761
CB5,52.2336,0.199442
CB6,52.4032,0.224584
CB7,52.3705,0.31152
CB8,52.233,0.420626
CB9,52.083,0.439977
CB10,52.0294,0.258534
CB11,52.0018,0.214136
CB21,52.1304,0.27928
CB22,52.1331,0.13593
CB23,52.2168,-0.0227326
CB24,52.275,0.0847859
CB25,52.2568,0.245453
CF1,51.4764,-3.18195
CF2,51.4979,-3.16238
CF3,51.518,-3.11862
CF4,51.5221,-3.21915
CF5,51.4829,-3.24146
CF6,51.4174,-3.26763
CF7,51.5072,-3.4185
CF8,51.6297,-3.2357
CF10,51.4736,-3.17729
CF11,51.4706,-3.19244
CF14,51.5202,-3.20251
CF15,51.5339,-3.27126
CF21,,
CF23,51.5136,-3.14525
CF24,51.4847,-3.16638
CF30,51.5196,-3.11956
CF31,51.5077,-3.57536
CF32,51.5577,-3.58273
CF33,51.5245,-3.68713
CF34,51.6108,-3.65265
CF35,51.5213,-3.52735
CF36,51.484,-3.69978
CF37,51.6015,-3.3342
CF38,51.5609,-3.33349
CF39,51.6019,-3.4265
CF40,51.6205,-3.45267
CF41,51.6478,-3.48273
CF42,51.6666,-3.52194
CF43,51.657,-3.4496
CF44,51.7172,-3.45709
CF45,51.67,-3.36279
CF46,51.6639,-3.30142
CF47,51.7507,-3.37546
CF48,51.7427,-3.37063
CF61,51.4094,-3.48102
CF62,51.4043,-3.30867
CF63,51.4106,-3.26027
CF64,51.4345,-3.18808
CF71,51.4569,-3.46481
CF72,51.5299,-3.39972
CF81,51.6998,-3.24399
CF82,51.6495,-3.23716
CF83,51.5855,-3.2205
CF91,51.4656,-3.19392
CF95,51.4812,-3.17104
CF99,51.4645,-3.16134
CH1,53.1993,-2.90006
CH2,53.2155,-2.87072
CH3,53.168,-2.82584
CH4,53.1695,-2.93822
CH5,53.2048,-3.03919
CH6,53.2492,-3.14459
CH7,53.1695,-3.13424
CH8,53.2823,-3.24152
CH25,53.397,-3.0118
CH26,53.3657,-3.06592
CH27,53.4211,-3.04213
CH28,53.4005,-3.11195
CH29,53.3903,-3.17941
CH30,53.379,-3.09845
CH31,53.3297,-3.09887
CH32,53.362,-2.99764
CH33,53.2906,-3.06264
CH34,53.2826,-2.90891
CH41,53.3947,-3.03076
CH42,53.3752,-3.02215
CH43,53.3829,-3.06013
CH44,53.4156,-3.0373
CH45,53.4283,-3.05078
CH46,53.4039,-3.11091
CH47,53.3958,-3.17021
CH48,53.3726,-3.17083
CH49,53.381,-3.10334
CH60,53.3269,-3.09642
CH61,53.3474,-3.10177
CH62,53.3358,-2.98215
CH63,53.3458,-3.01137
CH64,53.2884,-3.04927
CH65,53.2782,-2.90251
CH66,53.2779,-2.93545
CH70,53.1927,-2.92254
CH88,53.1779,-2.89582
CH99,53.1872,-2.88946
CM0,51.6599,0.832697
CM1,51.7453,0.465683
CM2,51.7237,0.484952
CM3,51.7155,0.58664
CM4,51.675,0.388603
CM5,51.7185,0.247771
CM6,51.8784,0.372601
CM7,51.8861,0.54784
CM8,51.8049,0.638717
CM9,51.7394,0.696009
CM11,51.624,0.44286
CM12,51.6269,0.414849
CM13,51.6155,0.334496
CM14,51.6189,0.295363
CM15,51.6413,0.304272
CM16,51.7002,0.118677
CM17,51.7724,0.140849
CM18,51.7567,0.104684
CM19,51.7614,0.0742991
CM20,51.7746,0.100561
CM21,51.812,0.14777
CM22,51.8653,0.217107
CM23,51.8708,0.159074
CM24,51.8976,0.206624
CM77,51.8677,0.552564
CM92,51.7694,0.061253
CM98,51.7521,0.518448
CM99,51.7394,0.491997
CO1,51.8822,0.893173
CO2,51.871,0.895385
CO3,51.8854,0.858441
CO4,51.9067,0.920831
CO5,51.8139,0.822291
CO6,51.9327,0.793411
CO7,51.881,1.00284
CO8,51.9734,0.766637
CO9,51.9683,0.610491
CO10,52.054,0.726648
CO11,51.9425,1.07541
CO12,51.9323,1.2557
CO13,51.8382,1.23797
CO14,51.8502,1.26765
CO15,51.7966,1.15518
CO16,51.8191,1.12553
CR0,51.3732,-0.0781187
CR2,51.3451,-0.0954276
CR3,51.2979,-0.0968543
CR4,51.4025,-0.14468
CR5,51.3133,-0.14141
CR6,51.3033,-0.0572249
CR7,51.3927,-0.103489
CR8,51.3364,-0.111069
CR9,51.3748,-0.0950462
CR44,51.3823,-0.132896
CR90,51.3773,-0.10597
CT1,51.2787,1.08649
CT2,51.2922,1.08155
CT3,51.2773,1.20742
CT4,51.2281,1.06785
CT5,51.3543,1.03459
CT6,51.3643,1.12857
CT7,51.3717,1.30253
CT8,51.3806,1.34063
CT9,51.384,1.3881
CT10,51.3629,1.42912
CT11,51.3365,1.41248
CT12,51.3432,1.37067
CT13,51.2688,1.33079
CT14,51.2173,1.3869
CT15,51.1713,1.28365
CT16,51.1392,1.30153
CT17,51.1287,1.29529
CT18,51.1126,1.15034
CT19,51.0884,1.16849
CT20,51.0797,1.16531
CT21,51.0731,1.07797
CT50,51.0792,1.14402
CV1,52.409,-1.50752
CV2,52.4233,-1.46773
CV3,52.3939,-1.48296
CV4,52.3997,-1.55558
CV5,52.4119,-1.54833
CV6,52.4309,-1.50727
CV7,52.4423,-1.55894
CV8,52.3511,-1.54736
CV9,52.5841,-1.55906
CV10,52.5256,-1.49873
CV11,52.5201,-1.45697
CV12,52.477,-1.47374
CV13,52.608,-1.41786
CV21,52.3706,-1.27176
CV22,52.3578,-1.28386
CV23,52.3499,-1.30387
CV31,52.28,-1.52704
CV32,52.2957,-1.53194
CV33,52.2381,-1.44274
CV34,52.2845,-1.58511
CV35,52.233,-1.59578
CV36,52.0712,-1.62982
CV37,52.1874,-1.71462
CV47,52.2364,-1.38653
CW1,53.0998,-2.43059
CW2,53.0814,-2.4456
CW3,53.0036,-2.41096
CW4,53.2042,-2.34031
CW5,53.0632,-2.52218
CW6,53.1616,-2.66738
CW7,53.1907,-2.52748
CW8,53.2542,-2.55922
CW9,53.2596,-2.50403
CW10,53.1891,-2.44906
CW11,53.1432,-2.36515
CW12,53.1661,-2.21562
CW98,53.0887,-2.43114
DA1,51.4473,0.209329
DA2,51.4332,0.231906
DA3,51.386,0.306398
DA4,51.3928,0.230811
DA5,51.441,0.147448
DA6,51.4561,0.138916
DA7,51.465,0.143437
DA8,51.4761,0.179661
DA9,51.4482,0.28064
DA10,51.4437,0.300407
DA11,51.4355,0.351898
DA12,51.4305,0.384153
DA13,51.3861,0.354275
DA14,51.4259,0.110463
DA15,51.4399,0.0989098
DA16,51.4645,0.109011
DA17,51.4869,0.150167
DA18,51.4915,0.145949
DD1,56.4618,-2.97729
DD2,56.471,-3.02764
DD3,56.482,-2.98938
DD4,56.4819,-2.93572
DD5,56.4794,-2.86345
DD6,56.4371,-2.92664
DD7,56.5028,-2.7195
DD8,56.6556,-2.92209
DD9,56.7476,-2.66686
DD10,56.7454,-2.43072
DD11,56.5724,-2.59799
DE1,52.9189,-1.47269
DE2,52.9132,-1.44088
DE3,52.9154,-1.50831
DE4,53.1437,-1.5856
DE5,53.0569,-1.42592
DE6,52.9628,-1.66712
DE7,52.9399,-1.34312
DE11,52.773,-1.55708
DE12,52.7277,-1.55429
DE13,52.8079,-1.68771
DE14,52.8071,-1.63881
DE15,52.7997,-1.61028
DE21,52.9324,-1.4352
DE22,52.9331,-1.49752
DE23,52.8994,-1.49965
DE24,52.8906,-1.45356
DE45,53.2145,-1.67733
DE55,53.0996,-1.37192
DE56,53.0212,-1.47695
DE65,52.8664,-1.61981
DE72,52.8941,-1.3671
DE73,52.8493,-1.43847
DE74,52.8482,-1.34085
DE75,53.012,-1.35323
DE99,52.9151,-1.46414
DG1,55.0733,-3.58544
DG2,55.0652,-3.65697
DG3,55.2368,-3.79923
DG4,55.3752,-3.95513
DG5,54.9214,-3.81294
DG6,54.8372,-4.05553
DG7,54.9663,-4.00879
DG8,54.8745,-4.51414
DG9,54.8786,-5.02292
DG10,55.3211,-3.43915
DG11,55.1147,-3.34067
DG12,54.9898,-3.25147
DG13,55.1746,-3.03268
DG14,55.0801,-2.98759
DG16,54.9969,-3.06813
DH1,54.7826,-1.56261
DH2,54.8599,-1.59827
DH3,54.8702,-1.56947
DH4,54.8529,-1.49027
DH5,54.8245,-1.4558
DH6,54.7536,-1.46473
DH7,54.7894,-1.66158
DH8,54.8533,-1.83306
DH9,54.8678,-1.71093
DH97,54.7863,-1.55527
DH98,54.8873,-1.58841
DH99,54.7879,-1.5503
DL1,54.528,-1.54138
DL2,54.5276,-1.59271
DL3,54.5312,-1.56905
DL4,54.6309,-1.64571
DL5,54.6163,-1.5769
DL6,54.3681,-1.39381
DL7,54.337,-1.47935
DL8,54.2947,-1.78551
DL9,54.376,-1.71087
DL10,54.4131,-1.69944
DL11,54.439,-1.87136
DL12,54.5705,-1.98218
DL13,54.7166,-1.95203
DL14,54.6533,-1.69031
DL15,54.7096,-1.72918
DL16,54.6991,-1.6039
DL17,54.6812,-1.54307
DL98,54.5275,-1.5597
DN1,53.5211,-1.11832
DN2,53.5327,-1.1042
DN3,53.5437,-1.06471
DN4,53.506,-1.12216
DN5,53.5367,-1.1712
DN6,53.5948,-1.17697
DN7,53.5804,-1.01766
DN8,53.6145,-0.956331
DN9,53.5056,-0.90463
DN10,53.4266,-0.941455
DN11,53.4497,-1.08393
DN12,53.4833,-1.22366
DN14,53.7077,-0.934597
DN15,53.6096,-0.652577
DN16,53.5684,-0.639975
DN17,53.5733,-0.703173
DN18,53.6818,-0.446423
DN19,53.6845,-0.364946
DN20,53.558,-0.50362
DN21,53.4173,-0.709981
DN22,53.3245,-0.929795
DN31,53.5709,-0.0844305
DN32,53.5632,-0.0710952
DN33,53.5406,-0.0985397
DN34,53.5581,-0.112081
DN35,53.5555,-0.037955
DN36,53.5136,-0.0400797
DN37,53.551,-0.149536
DN38,53.5601,-0.39717
DN39,53.617,-0.329403
DN40,53.6216,-0.224071
DN41,53.5848,-0.195609
DN55,53.5129,-1.12572
DT1,50.7124,-2.44376
DT2,50.7484,-2.44987
DT3,50.6405,-2.46693
DT4,50.6099,-2.46319
DT5,50.5493,-2.44278
DT6,50.7387,-2.77485
DT7,50.7293,-2.94578
DT8,50.8149,-2.75797
DT9,50.9425,-2.51663
DT10,50.937,-2.33149
DT11,50.8614,-2.17991
DY1,52.5152,-2.09439
DY2,52.4976,-2.08261
DY3,52.5297,-2.12854
DY4,52.5319,-2.05447
DY5,52.4809,-2.12283
DY6,52.4989,-2.16442
DY7,52.4647,-2.21801
DY8,52.46,-2.154
DY9,52.4375,-2.12418
DY10,52.3862,-2.22922
DY11,52.3853,-2.26045
DY12,52.3864,-2.32389
DY13,52.3372,-2.28083
DY14,52.3809,-2.45589
E1,51.5163,-0.0603951
E1W,51.5116,-0.0593196
E2,51.5301,-0.0622602
E3,51.5282,-0.0258794
E4,51.6238,-0.00327293
E5,51.5593,-0.0545009
E6,51.5252,0.0551476
E7,51.5476,0.0261694
E8,51.5414,-0.0650632
E9,51.5419,-0.0465369
E10,51.5687,-0.012773
E11,51.5674,0.0116793
E12,51.551,0.0508617
E13,51.5282,0.0256931
E14,51.5076,-0.021002
E15,51.5387,0.000651606
E16,51.5116,0.0204802
E17,51.5864,-0.0201821
E18,51.5926,0.0255309
E20,51.5465,-0.0100676
E77,51.5139,-0.069129
E98,51.5086,-0.0641003
EC1A,51.5203,-0.104445
EC1M,51.5214,-0.103592
EC1N,51.52,-0.109139
EC1P,51.5245,-0.112055
EC1R,51.5245,-0.10898
EC1V,51.5265,-0.099348
EC1Y,51.5231,-0.0933856
EC2A,51.5232,-0.0880545
EC2M,51.5184,-0.0868254
EC2N,51.516,-0.0875086
EC2P,51.524,-0.110437
EC2R,51.5163,-0.0918739
EC2V,51.5158,-0.0949401
EC2Y,51.52,-0.0963437
EC3A,51.5149,-0.0820123
EC3B,51.514,-0.081823
EC3M,51.5122,-0.0837351
EC3N,51.5127,-0.0798249
EC3P,51.5222,-0.106329
EC3R,51.5112,-0.0846525
EC3V,51.5133,-0.0869103
EC4A,51.5159,-0.108661
EC4M,51.5149,-0.100593
EC4N,51.5134,-0.093104
EC4P,51.5228,-0.110311
EC4R,51.5114,-0.0917518
EC4V,51.5126,-0.100246
EC4Y,51.5137,-0.108858
EC50,51.5245,-0.112088
EC88,51.5245,-0.0791226
EH1,55.9522,-3.19175
EH2,55.9532,-3.20031
EH3,55.9525,-3.20419
EH4,55.9624,-3.25553
EH5,55.9745,-3.21916
EH6,55.9711,-3.17398
EH7,55.9599,-3.16502
EH8,55.9499,-3.16628
EH9,55.9332,-3.18696
EH10,55.9215,-3.21079
EH11,55.9334,-3.25126
